"accession","mu","sd.x","idirt_mu","sd.y","contaminant"
"162","Q16629",0.662405493382424,0.182625489146761,0.218091992999495,0.132231315274773,"no"
"163","E9PKZ0",0.800996259726527,0.123610495447612,0.3599721347081,0.16669485254681,"no"
"165","Q9Y230",0.608864375817204,0.155641235602582,0.678489542171779,0.126735966784567,"no"
"166","Q5T749",0.856187770157518,0.0892678491744396,0.5,0.5,"no"
"167","P04843",0.682394725963732,0.146937216398934,0.397419121687858,0.142086786292047,"no"
"168","A2NJV5",0.781857249909335,0.132139098560065,0.17916935764125,0.116212511243055,"no"
"169","P12273",0.822032982379808,0.109366762378155,0.195792152924625,0.117850526636027,"no"
"171","Q14697",0.635052693088641,0.152508789568248,0.6279749350814,0.16438811870371,"no"
"173","P56537",0.600066612908482,0.203543018428137,0.5,0.5,"no"
"175","Q13509",0.628477602987304,0.15612146958589,0.575998090844788,0.150063999228488,"no"
"176","P61626",0.775494401428419,0.132753319681193,0.220760556365772,0.135350084288926,"no"
"177","P00403",0.74107397279462,0.149456019450854,0.29545092222246,0.15192167616301,"no"
"178","P22735",0.753840427872421,0.141419762201007,0.5,0.5,"no"
"179","Q5T5P2",0.801232758496184,0.122629512735058,0.749827159006467,0.141552250980364,"no"
"180","P15531",0.60573765705054,0.19682749218493,0.60050929463229,0.20014331399797,"no"
"181","P09758",0.334502097987796,0.145273807355749,0.817518743397913,0.108515108612376,"no"
"182","Q9HAU0",0.5,0.5,0.716168695845595,0.151374256293603,"no"
"183","Q02978",0.5,0.5,0.225934607002384,0.1299568454335,"no"
"184","Q9Y6C9",0.5,0.5,0.511172082951403,0.187293965311806,"no"
"185","P40429",0.5,0.5,0.33910654281203,0.178532470997814,"no"
"186","P26599",0.5,0.5,0.241078008703751,0.099809565124864,"no"
"187","P50402",0.5,0.5,0.487645398649994,0.176656216559794,"no"
"188","Q14974",0.5,0.5,0.428697530936267,0.173736941507642,"no"
"189","P51991",0.5,0.5,0.232291345554244,0.098485015454318,"no"
"190","P31943",0.5,0.5,0.187299609631004,0.106338768983469,"no"
"191","P35221",0.5,0.5,0.85537948482906,0.0916327285154237,"no"
"192","B4DR61",0.5,0.5,0.628742995004405,0.163987791085128,"no"
"193","P50502",0.5,0.5,0.428814055627521,0.163357246152772,"no"
"194","Q12955",0.5,0.5,0.844284209812087,0.0943392089634598,"no"
"195","Q6ZXV5",0.5,0.5,0.857738753003396,0.086157809575243,"no"
"196","A0A0G2JIW1",0.5,0.5,0.798775495741987,0.120247631430934,"no"
"197","Q9UJS0",0.5,0.5,0.217485129086124,0.120086448584587,"no"
"198","P51149",0.5,0.5,0.381060649853059,0.158356587263765,"no"
"199","H3BRG4",0.5,0.5,0.349748912197807,0.153248902478939,"no"
"200","O00571",0.5,0.5,0.627249306622433,0.164365119440923,"no"
"201","P60866",0.5,0.5,0.534597920995547,0.140318514907421,"no"
"202","P04279",0.5,0.5,0.204006868574012,0.12174838130751,"no"
"203","P62280",0.5,0.5,0.647452708927898,0.171776056267968,"no"
"204","P04844",0.5,0.5,0.393570439340875,0.203891214468834,"no"
"205","P31942",0.5,0.5,0.42439687398274,0.110846372069704,"no"
"206","D6RBZ0",0.5,0.5,0.372435677867835,0.159748592212014,"no"
"207","A0A087WVQ6",0.5,0.5,0.603092555895688,0.145183963550817,"no"
"208","Q15084",0.5,0.5,0.252584986505578,0.0959312625656229,"no"
"209","I3L192",0.5,0.5,0.571342524990863,0.169437850977143,"no"
"210","Q02383",0.5,0.5,0.242024313071103,0.142626814458547,"no"
"211","P62277",0.5,0.5,0.441476961034175,0.167332325865779,"no"
"212","P42167",0.5,0.5,0.27499242984017,0.137250862229744,"no"
"213","Q9BUJ2",0.5,0.5,0.189154146056666,0.102572949233418,"no"
"214","P24539",0.5,0.5,0.334460304762188,0.150241454451974,"no"
