Accession,Gene names,Hit times,Buffer29,,Buffer25,,Buffer19,,Buffer16,,Buffer3,,Buffer2,
,,,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor
Q5QNW6,H2BC18,0,0.19,9.12,0.18,9.07,0.24,5.8,0.22,7.65,0.36,0.71,0.28,3.47
P22735,TGM1,0,0.49,-0.85,0.31,2.01,0.13,16.27,0.05,22.54,0.49,-0.79,0,0
P27797,CALR,0,0.44,-0.76,0.15,8.3,0.43,-0.39,0,0,0.56,-0.48,0.49,-0.85
E9PLD0,RAB1B,0,0.19,7.39,0.31,4.05,0.38,0.22,0.24,6.67,0.26,3.52,0.4,0.35
P62701,RPS4X,0,0.54,-0.55,0.49,-0.85,0.55,-0.71,0.39,1.84,0.53,-0.56,0.43,-0.83
P60866,RPS20,0,0.42,-0.73,0.28,3.58,0.45,-0.71,0,0,0.48,-0.85,0.35,0.25
P51991,HNRNPA3,0,0.4,-0.52,0.56,-0.55,0.45,-0.72,0.56,-0.69,0.48,-0.8,0.43,-0.44
Q13867,BLMH,0,0.6,-0.79,0.21,6.43,0.17,4.35,0.08,19.62,0.29,0.53,0.53,-0.81
F8VVM2,SLC25A3,0,0.38,-0.29,0.4,-0.28,0.38,0.85,0.27,1.91,0.41,-0.34,0.4,-0.02
P62277,RPS13,0,0.58,0.14,0.36,-0.03,0.53,-0.67,0.57,-0.28,0.57,-0.34,0.46,-0.39
Q8TEM1,NUP210,0,0.17,10.03,0.15,12.25,0.47,-0.84,0,0,0.15,10.26,0.25,0.49
Q96D15,RCN3,0,0.37,0.5,0,0,0,0,0,0,0,0,0,0
Q96EP5,DAZAP1,0,0.28,5.5,0.43,-0.81,0.49,-0.85,0.29,3.74,0.64,1.41,0.47,-0.83
P62249,RPS16,0,0.42,-0.69,0.46,-0.81,0.54,-0.33,0.52,-0.85,0.56,-0.33,0.47,-0.83
O43251,RBFOX2,0,0.36,0.9,0.43,-0.11,0.37,0.51,0,0,0,0,0,0
P32119,HEL-S-2a,0,0.27,4.14,0.15,9.99,0.26,4.36,0.09,17.88,0.37,0.16,0.33,1.5
P20930,FLG,0,0.07,15.34,0.04,22.46,0,0,0.05,22.17,0.04,22.74,0.07,20.52
P00338,HEL-S-133P,0,0.35,0.26,0.44,-0.63,0.42,0.23,0.15,14.6,0.53,-0.76,0.45,-0.83
A0A5F9ZHM4,HEL-S-281,0,0.58,1.46,0.39,-0.11,0.53,-0.58,0.51,-0.13,0.5,-0.77,0.51,-0.78
P81605,DCD,0,0.02,24.34,0,0,0.03,24.89,0.02,24.83,0.02,24.35,0,0
A0A0A0MR02,VDAC2,0,0.43,-0.57,0.48,-0.84,0.45,-0.73,0.39,-0.1,0.47,-0.84,0.47,-0.81
D6RBZ0,HNRNPAB,0,0.34,0.94,0.25,4.58,0.35,1.6,0.44,-0.85,0.33,0.94,0.27,4.4
G5E972,TMPO,0,0.38,2.12,0,0,0.33,0.92,0,0,0.31,1.66,0.26,4.17
P47929,LGALS7,0,0.28,4.99,0.08,18.51,0.09,18.75,0.01,26.7,0,0,0.08,14.47
P50995,ANXA11,0,0.5,-0.78,0.29,4.78,0.36,-0.29,0.18,12.47,0.39,-0.52,0.48,-0.84
P62269,RPS18,0,0.43,-0.55,0.49,-0.83,0.36,0.29,0.44,-0.82,0.47,-0.82,0.4,-0.43
Q15084,PDIA6,0,0.45,-0.49,0.13,10.05,0.45,-0.71,0,0,0.45,-0.68,0.41,0.15
P49411,TUFM,0,0.34,1.22,0.39,-0.32,0.3,3.78,0.19,9.91,0.38,0.04,0.37,0.3
P69905,HBA1,0,0.42,0.36,0.28,3.5,0.12,16.19,0.31,3.95,0.08,18.41,0,0
H7BZ94,P4HB,0,0.35,3.28,0.2,9.91,0.39,1.23,0,0,0.32,1.77,0.34,1.22
P13667,ERP70,0,0.58,0.59,0.37,0.35,0.4,-0.2,0.18,1.14,0.62,0.22,0.49,-0.8
Q96PK6,RBM14,0,0.24,5.44,0.49,-0.79,0.22,1.81,0.33,2.55,0.32,0.61,0.35,-0.13
P01876,IGHA1,0,0.69,2.19,0.66,0.09,0,0,0,0,0.57,-0.44,0.37,-0.33
P39656,DDOST,0,0.48,-0.83,0.31,2.19,0.45,-0.56,0,0,0.39,-0.1,0.37,0.35
Q8WVV4,POF1B,0,0.12,6.82,0.02,5.77,0.09,18.42,0.1,15.34,0.29,-0.13,0,0
O75223,C7orf24,0,0.48,-0.84,0.1,17.2,0.2,8.75,0.2,8.04,0.22,6.85,0.19,8.01
Q6ZVX7,NCCRP1,0,0.27,2.93,0.32,1.77,0.34,2.04,0.18,11.06,0.36,0.59,0.34,0.88
